Objectid,Year,County,City,Employment,Labor_Force,Unemployment,Unemployment_Rate,Source
0,1990,Alameda,Alameda,36308,37391,1091,0.0291,CA EDD Local Area Unemployment Statistics (LAUS)
1,1990,Alameda,Albany,8766,8950,200,0.0196,CA EDD Local Area Unemployment Statistics (LAUS)
2,1990,Alameda,Berkeley,57233,59458,2233,0.0375,CA EDD Local Area Unemployment Statistics (LAUS)
3,1990,Alameda,Dublin,11175,11450,275,0.0234,CA EDD Local Area Unemployment Statistics (LAUS)
4,1990,Alameda,Emeryville,3550,3700,141,0.0395,CA EDD Local Area Unemployment Statistics (LAUS)
5,1990,Alameda,Fremont,98383,101225,2833,0.0279,CA EDD Local Area Unemployment Statistics (LAUS)
6,1990,Alameda,Hayward,56708,59141,2433,0.0411,CA EDD Local Area Unemployment Statistics (LAUS)
7,1990,Alameda,Livermore,31950,32858,925,0.0279,CA EDD Local Area Unemployment Statistics (LAUS)
8,1990,Alameda,Newark,21008,21791,766,0.0354,CA EDD Local Area Unemployment Statistics (LAUS)
9,1990,Alameda,Oakland,166083,177466,11375,0.0641,CA EDD Local Area Unemployment Statistics (LAUS)
10,1990,Alameda,Piedmont,5366,5400,100,0.0106,CA EDD Local Area Unemployment Statistics (LAUS)
11,1990,Alameda,Pleasanton,30625,31266,650,0.0203,CA EDD Local Area Unemployment Statistics (LAUS)
12,1990,Alameda,San Leandro,34650,35916,1283,0.0355,CA EDD Local Area Unemployment Statistics (LAUS)
13,1990,Alameda,Unincorporated Alameda,10610,11020,423,0.0414,CA EDD Local Area Unemployment Statistics (LAUS)
14,1990,Alameda,Union City,28366,29241,866,0.0299,CA EDD Local Area Unemployment Statistics (LAUS)
15,1990,Contra Costa,Antioch,30458,32175,1716,0.0536,CA EDD Local Area Unemployment Statistics (LAUS)
16,1990,Contra Costa,Brentwood,3500,3708,208,0.0611,CA EDD Local Area Unemployment Statistics (LAUS)
17,1990,Contra Costa,Clayton,4200,4258,100,0.0142,CA EDD Local Area Unemployment Statistics (LAUS)
18,1990,Contra Costa,Concord,62008,64408,2400,0.0372,CA EDD Local Area Unemployment Statistics (LAUS)
19,1990,Contra Costa,Danville,17733,18058,350,0.0193,CA EDD Local Area Unemployment Statistics (LAUS)
20,1990,Contra Costa,El Cerrito,11983,12341,350,0.0292,CA EDD Local Area Unemployment Statistics (LAUS)
21,1990,Contra Costa,Hercules,9600,9966,350,0.0352,CA EDD Local Area Unemployment Statistics (LAUS)
22,1990,Contra Costa,Lafayette,12858,13108,250,0.0179,CA EDD Local Area Unemployment Statistics (LAUS)
23,1990,Contra Costa,Martinez,17933,18508,608,0.0326,CA EDD Local Area Unemployment Statistics (LAUS)
24,1990,Contra Costa,Moraga,8358,8458,100,0.0138,CA EDD Local Area Unemployment Statistics (LAUS)
25,1990,Contra Costa,Orinda,8408,8633,200,0.0239,CA EDD Local Area Unemployment Statistics (LAUS)
26,1990,Contra Costa,Pinole,9458,9825,350,0.036,CA EDD Local Area Unemployment Statistics (LAUS)
27,1990,Contra Costa,Pittsburg,22450,23825,1358,0.0569,CA EDD Local Area Unemployment Statistics (LAUS)
28,1990,Contra Costa,Pleasant Hill,18633,19100,483,0.0257,CA EDD Local Area Unemployment Statistics (LAUS)
29,1990,Contra Costa,Richmond,39891,43216,3308,0.0767,CA EDD Local Area Unemployment Statistics (LAUS)
30,1990,Contra Costa,San Pablo,10383,11308,933,0.0825,CA EDD Local Area Unemployment Statistics (LAUS)
31,1990,Contra Costa,San Ramon,21641,22125,483,0.0222,CA EDD Local Area Unemployment Statistics (LAUS)
32,1990,Contra Costa,Unincorporated Contra Costa,2871,2968,106,0.0349,CA EDD Local Area Unemployment Statistics (LAUS)
33,1990,Contra Costa,Walnut Creek,31925,32783,858,0.0262,CA EDD Local Area Unemployment Statistics (LAUS)
34,1990,Marin,Corte Madera,4775,4941,200,0.0366,CA EDD Local Area Unemployment Statistics (LAUS)
35,1990,Marin,Fairfax,4391,4508,116,0.0307,CA EDD Local Area Unemployment Statistics (LAUS)
36,1990,Marin,Larkspur,6566,6700,100,0.0185,CA EDD Local Area Unemployment Statistics (LAUS)
37,1990,Marin,Mill Valley,7683,7858,175,0.0204,CA EDD Local Area Unemployment Statistics (LAUS)
38,1990,Marin,Novato,25708,26308,583,0.0227,CA EDD Local Area Unemployment Statistics (LAUS)
39,1990,Marin,San Anselmo,7000,7141,158,0.0213,CA EDD Local Area Unemployment Statistics (LAUS)
40,1990,Marin,San Rafael,27150,28141,1008,0.0355,CA EDD Local Area Unemployment Statistics (LAUS)
41,1990,Marin,Sausalito,5200,5333,158,0.0284,CA EDD Local Area Unemployment Statistics (LAUS)
42,1990,Marin,Unincorporated Marin,3558,3650,83,0.0232,CA EDD Local Area Unemployment Statistics (LAUS)
43,1990,Napa,Calistoga,2041,2150,108,0.0504,CA EDD Local Area Unemployment Statistics (LAUS)
44,1990,Napa,Napa,30483,32016,1533,0.0479,CA EDD Local Area Unemployment Statistics (LAUS)
45,1990,Napa,St. Helena,2450,2491,33,0.0186,CA EDD Local Area Unemployment Statistics (LAUS)
46,1990,Napa,Unincorporated Napa,1554,1625,62,0.0432,CA EDD Local Area Unemployment Statistics (LAUS)
47,1990,Napa,Yountville,883,900,0,0.0266,CA EDD Local Area Unemployment Statistics (LAUS)
48,1990,San Francisco,San Francisco,393941,409366,15416,0.0377,CA EDD Local Area Unemployment Statistics (LAUS)
49,1990,San Mateo,Atherton,3600,3625,0,0.011,CA EDD Local Area Unemployment Statistics (LAUS)
50,1990,San Mateo,Belmont,15183,15533,333,0.0212,CA EDD Local Area Unemployment Statistics (LAUS)
51,1990,San Mateo,Brisbane,1708,1800,91,0.0315,CA EDD Local Area Unemployment Statistics (LAUS)
52,1990,San Mateo,Burlingame,15383,15658,275,0.0174,CA EDD Local Area Unemployment Statistics (LAUS)
53,1990,San Mateo,Daly City,49741,51483,1758,0.0342,CA EDD Local Area Unemployment Statistics (LAUS)
54,1990,San Mateo,East Palo Alto,10275,11000,750,0.0681,CA EDD Local Area Unemployment Statistics (LAUS)
55,1990,San Mateo,Foster City,17983,18366,383,0.0212,CA EDD Local Area Unemployment Statistics (LAUS)
56,1990,San Mateo,Half Moon Bay,5258,5316,100,0.0152,CA EDD Local Area Unemployment Statistics (LAUS)
57,1990,San Mateo,Hillsborough,5008,5100,100,0.0157,CA EDD Local Area Unemployment Statistics (LAUS)
58,1990,San Mateo,Menlo Park,14766,15083,308,0.0201,CA EDD Local Area Unemployment Statistics (LAUS)
59,1990,San Mateo,Millbrae,10308,10533,200,0.0199,CA EDD Local Area Unemployment Statistics (LAUS)
60,1990,San Mateo,Pacifica,21883,22350,458,0.0209,CA EDD Local Area Unemployment Statistics (LAUS)
61,1990,San Mateo,Redwood City,37291,38183,933,0.0239,CA EDD Local Area Unemployment Statistics (LAUS)
62,1990,San Mateo,San Bruno,21641,22225,566,0.0258,CA EDD Local Area Unemployment Statistics (LAUS)
63,1990,San Mateo,San Carlos,15391,15633,233,0.0151,CA EDD Local Area Unemployment Statistics (LAUS)
64,1990,San Mateo,San Mateo,49108,50458,1341,0.0266,CA EDD Local Area Unemployment Statistics (LAUS)
65,1990,San Mateo,South San Francisco,28683,29666,975,0.0331,CA EDD Local Area Unemployment Statistics (LAUS)
66,1990,San Mateo,Unincorporated San Mateo,3395,3554,137,0.0299,CA EDD Local Area Unemployment Statistics (LAUS)
67,1990,Santa Clara,Campbell,22125,22783,658,0.0287,CA EDD Local Area Unemployment Statistics (LAUS)
68,1990,Santa Clara,Cupertino,23800,24383,558,0.0231,CA EDD Local Area Unemployment Statistics (LAUS)
69,1990,Santa Clara,Gilroy,14916,15975,1050,0.0662,CA EDD Local Area Unemployment Statistics (LAUS)
70,1990,Santa Clara,Los Altos,13900,14233,341,0.0241,CA EDD Local Area Unemployment Statistics (LAUS)
71,1990,Santa Clara,Los Gatos,16241,16675,416,0.0245,CA EDD Local Area Unemployment Statistics (LAUS)
72,1990,Santa Clara,Milpitas,26450,27591,1133,0.041,CA EDD Local Area Unemployment Statistics (LAUS)
73,1990,Santa Clara,Morgan Hill,12491,12891,408,0.0311,CA EDD Local Area Unemployment Statistics (LAUS)
74,1990,Santa Clara,Mountain View,42366,43550,1175,0.0273,CA EDD Local Area Unemployment Statistics (LAUS)
75,1990,Santa Clara,Palo Alto,32716,33391,675,0.0201,CA EDD Local Area Unemployment Statistics (LAUS)
76,1990,Santa Clara,San Jose,413733,433983,20250,0.0467,CA EDD Local Area Unemployment Statistics (LAUS)
77,1990,Santa Clara,Santa Clara,55358,57500,2150,0.0373,CA EDD Local Area Unemployment Statistics (LAUS)
78,1990,Santa Clara,Saratoga,14633,14991,358,0.0239,CA EDD Local Area Unemployment Statistics (LAUS)
79,1990,Santa Clara,Sunnyvale,70341,72791,2466,0.0337,CA EDD Local Area Unemployment Statistics (LAUS)
80,1990,Santa Clara,Unincorporated Santa Clara,3937,4112,154,0.0391,CA EDD Local Area Unemployment Statistics (LAUS)
81,1990,Solano,Benicia,13466,13900,433,0.0318,CA EDD Local Area Unemployment Statistics (LAUS)
82,1990,Solano,Dixon,4983,5325,333,0.0635,CA EDD Local Area Unemployment Statistics (LAUS)
83,1990,Solano,Fairfield,34250,36141,1900,0.0526,CA EDD Local Area Unemployment Statistics (LAUS)
84,1990,Solano,Rio Vista,1550,1608,25,0.0298,CA EDD Local Area Unemployment Statistics (LAUS)
85,1990,Solano,Suisun City,10100,10725,616,0.0577,CA EDD Local Area Unemployment Statistics (LAUS)
86,1990,Solano,Vacaville,32150,33441,1275,0.0388,CA EDD Local Area Unemployment Statistics (LAUS)
87,1990,Solano,Vallejo,49191,51975,2750,0.0532,CA EDD Local Area Unemployment Statistics (LAUS)
88,1990,Sonoma,Cloverdale,2225,2408,200,0.0687,CA EDD Local Area Unemployment Statistics (LAUS)
89,1990,Sonoma,Cotati,3225,3400,200,0.0518,CA EDD Local Area Unemployment Statistics (LAUS)
90,1990,Sonoma,Healdsburg,4791,4983,200,0.0354,CA EDD Local Area Unemployment Statistics (LAUS)
91,1990,Sonoma,Petaluma,23266,24025,750,0.0315,CA EDD Local Area Unemployment Statistics (LAUS)
92,1990,Sonoma,Rohnert Park,19741,20633,916,0.0435,CA EDD Local Area Unemployment Statistics (LAUS)
93,1990,Sonoma,Santa Rosa,56800,59016,2225,0.0377,CA EDD Local Area Unemployment Statistics (LAUS)
94,1990,Sonoma,Sebastopol,3425,3583,200,0.0459,CA EDD Local Area Unemployment Statistics (LAUS)
95,1990,Sonoma,Sonoma,3525,3641,100,0.0253,CA EDD Local Area Unemployment Statistics (LAUS)
96,1990,Sonoma,Unincorporated Sonoma,1086,1121,37,0.0365,CA EDD Local Area Unemployment Statistics (LAUS)
